track_name,artist_name,album_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_year
Samjhawan,Shreya Ghoshal,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,0.651,0.482,4,-8.666,1,0.0281,0.293,0.0,0.0811,0.517,106.993,audio_features,0rk2X5TAhraBC5aCIXK2Rq,spotify:track:0rk2X5TAhraBC5aCIXK2Rq,https://api.spotify.com/v1/tracks/0rk2X5TAhraBC5aCIXK2Rq,https://api.spotify.com/v1/audio-analysis/0rk2X5TAhraBC5aCIXK2Rq,269185,4,68,2014
Teri Yaadon Mein,Shreya Ghoshal,The Killer,4ZVfIGaZP93t0stmBj4FqA,0.576,0.735,11,-5.811,0,0.0352,0.0233,0.00118,0.188,0.301,105.058,audio_features,4ZVfIGaZP93t0stmBj4FqA,spotify:track:4ZVfIGaZP93t0stmBj4FqA,https://api.spotify.com/v1/tracks/4ZVfIGaZP93t0stmBj4FqA,https://api.spotify.com/v1/audio-analysis/4ZVfIGaZP93t0stmBj4FqA,287213,4,70,2006
Main Agar Kahoon,Shreya Ghoshal,Soulful Sonu Nigam Specials,3WVHfTd7xz9VPYJQFpOp8j,0.533,0.436,5,-7.521,0,0.0276,0.234,3.17e-06,0.46,0.371,146.868,audio_features,3WVHfTd7xz9VPYJQFpOp8j,spotify:track:3WVHfTd7xz9VPYJQFpOp8j,https://api.spotify.com/v1/tracks/3WVHfTd7xz9VPYJQFpOp8j,https://api.spotify.com/v1/audio-analysis/3WVHfTd7xz9VPYJQFpOp8j,308158,3,62,2017
Guli Mata,Shreya Ghoshal,Guli Mata,3B9CL5t32mM2SDdps2IhYM,0.589,0.749,8,-6.115,0,0.066,0.501,2.45e-06,0.343,0.604,151.522,audio_features,3B9CL5t32mM2SDdps2IhYM,spotify:track:3B9CL5t32mM2SDdps2IhYM,https://api.spotify.com/v1/tracks/3B9CL5t32mM2SDdps2IhYM,https://api.spotify.com/v1/audio-analysis/3B9CL5t32mM2SDdps2IhYM,235575,3,70,2023
Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar,7m4CgL81VVIHaaiSxyH922,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,audio_features,7m4CgL81VVIHaaiSxyH922,spotify:track:7m4CgL81VVIHaaiSxyH922,https://api.spotify.com/v1/tracks/7m4CgL81VVIHaaiSxyH922,https://api.spotify.com/v1/audio-analysis/7m4CgL81VVIHaaiSxyH922,253353,4,72,2014
Love Dose,Yo Yo Honey Singh,Desi Kalakaar,1QZRCi2Z1DQQaR6bGAzhtN,0.843,0.768,11,-4.554,0,0.117,0.256,0.0,0.614,0.662,139.998,audio_features,1QZRCi2Z1DQQaR6bGAzhtN,spotify:track:1QZRCi2Z1DQQaR6bGAzhtN,https://api.spotify.com/v1/tracks/1QZRCi2Z1DQQaR6bGAzhtN,https://api.spotify.com/v1/audio-analysis/1QZRCi2Z1DQQaR6bGAzhtN,224444,4,70,2014
Blue Eyes,Yo Yo Honey Singh,Blue Eyes,7wW9scVNLYFLsmBb1yAUmS,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,audio_features,7wW9scVNLYFLsmBb1yAUmS,spotify:track:7wW9scVNLYFLsmBb1yAUmS,https://api.spotify.com/v1/tracks/7wW9scVNLYFLsmBb1yAUmS,https://api.spotify.com/v1/audio-analysis/7wW9scVNLYFLsmBb1yAUmS,220944,4,69,2013
"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,3NKuSd9Qa5fzwhqiuKYFh4,0.765,0.89,5,-4.608,0,0.0824,0.502,0.0,0.0423,0.918,99.961,audio_features,3NKuSd9Qa5fzwhqiuKYFh4,spotify:track:3NKuSd9Qa5fzwhqiuKYFh4,https://api.spotify.com/v1/tracks/3NKuSd9Qa5fzwhqiuKYFh4,https://api.spotify.com/v1/audio-analysis/3NKuSd9Qa5fzwhqiuKYFh4,226696,4,64,2018
"Yaar Naa Miley (From ""Kick"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,0qzuXwxORXTwSsBU2aJGj5,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,audio_features,0qzuXwxORXTwSsBU2aJGj5,spotify:track:0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/tracks/0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/audio-analysis/0qzuXwxORXTwSsBU2aJGj5,243206,4,65,2018
"Vigdiyan Heeran (From ""Honey 3.0"")",Yo Yo Honey Singh,Honey 3.0,7qz4tPvG6hm4XeyjtTKNfT,0.759,0.82,9,-4.69,0,0.0408,0.527,0.0,0.11,0.758,97.979,audio_features,7qz4tPvG6hm4XeyjtTKNfT,spotify:track:7qz4tPvG6hm4XeyjtTKNfT,https://api.spotify.com/v1/tracks/7qz4tPvG6hm4XeyjtTKNfT,https://api.spotify.com/v1/audio-analysis/7qz4tPvG6hm4XeyjtTKNfT,197296,4,68,2024
